LC,LC-title,Element_no,P[kN],Shear_key
99,4035,Protection concrete,10100028,32.2,Shear_key11
100,4035,Protection concrete,10100029,49.8,Shear_key11
101,4035,Protection concrete,10100030,29.6,Shear_key11
102,4035,Protection concrete,10100031,-48.8,Shear_key14
103,4035,Protection concrete,10100032,-55.6,Shear_key14
104,4035,Protection concrete,10100033,-34.4,Shear_key14
105,4035,Protection concrete,10100034,74.6,Shear_key13
106,4035,Protection concrete,10100035,120.8,Shear_key13
107,4035,Protection concrete,10100036,74.9,Shear_key13
108,4036,Backfill,10100001,-52.4,Shear_key20
109,4036,Backfill,10100002,-66.7,Shear_key20
110,4036,Backfill,10100003,-30.5,Shear_key20
111,4036,Backfill,10100004,55.7,Shear_key19
112,4036,Backfill,10100005,75.9,Shear_key19
113,4036,Backfill,10100006,38.2,Shear_key19
114,4036,Backfill,10100007,-48.6,Not_a_shear_key
115,4036,Backfill,10100008,-52.5,Not_a_shear_key
116,4036,Backfill,10100009,-29.6,Not_a_shear_key
117,4036,Backfill,10100010,59.6,Shear_key9
118,4036,Backfill,10100011,81.3,Shear_key9
119,4036,Backfill,10100012,41.4,Shear_key9
120,4036,Backfill,10100013,-48.0,Shear_key18
121,4036,Backfill,10100014,-47.2,Shear_key18
122,4036,Backfill,10100015,-23.1,Shear_key18
123,4036,Backfill,10100016,64.6,Shear_key17
124,4036,Backfill,10100017,90.6,Shear_key17
125,4036,Backfill,10100018,48.6,Shear_key17
126,4036,Backfill,10100019,-87.6,Shear_key16
127,4036,Backfill,10100020,-95.5,Shear_key16
128,4036,Backfill,10100021,-54.4,Shear_key16
129,4036,Backfill,10100022,403.1,Shear_key15
130,4036,Backfill,10100023,479.0,Shear_key15
131,4036,Backfill,10100024,327.8,Shear_key15
132,4036,Backfill,10100025,-52.2,Shear_key12
133,4036,Backfill,10100026,-52.5,Shear_key12
134,4036,Backfill,10100027,-26.0,Shear_key12
135,4036,Backfill,10100028,72.0,Shear_key11
136,4036,Backfill,10100029,103.5,Shear_key11
137,4036,Backfill,10100030,56.1,Shear_key11
138,4036,Backfill,10100031,-98.4,Shear_key14
139,4036,Backfill,10100032,-107.1,Shear_key14
140,4036,Backfill,10100033,-61.8,Shear_key14
141,4036,Backfill,10100034,145.8,Shear_key13
142,4036,Backfill,10100035,225.5,Shear_key13
143,4036,Backfill,10100036,133.0,Shear_key13
144,4037,Ballast concrete of 16.8,10100001,-57.2,Shear_key20
145,4037,Ballast concrete of 16.8,10100002,-73.0,Shear_key20
146,4037,Ballast concrete of 16.8,10100003,-33.4,Shear_key20
147,4037,Ballast concrete of 16.8,10100004,60.9,Shear_key19
148,4037,Ballast concrete of 16.8,10100005,83.1,Shear_key19
149,4037,Ballast concrete of 16.8,10100006,42.0,Shear_key19
150,4037,Ballast concrete of 16.8,10100007,-52.6,Not_a_shear_key
151,4037,Ballast concrete of 16.8,10100008,-56.8,Not_a_shear_key
152,4037,Ballast concrete of 16.8,10100009,-32.1,Not_a_shear_key
153,4037,Ballast concrete of 16.8,10100010,64.7,Shear_key9
154,4037,Ballast concrete of 16.8,10100011,88.6,Shear_key9
155,4037,Ballast concrete of 16.8,10100012,45.2,Shear_key9
156,4037,Ballast concrete of 16.8,10100013,-53.5,Shear_key18
157,4037,Ballast concrete of 16.8,10100014,-53.0,Shear_key18
158,4037,Ballast concrete of 16.8,10100015,-26.5,Shear_key18
159,4037,Ballast concrete of 16.8,10100016,72.8,Shear_key17
160,4037,Ballast concrete of 16.8,10100017,103.4,Shear_key17
161,4037,Ballast concrete of 16.8,10100018,56.2,Shear_key17
162,4037,Ballast concrete of 16.8,10100019,-95.9,Shear_key16
163,4037,Ballast concrete of 16.8,10100020,-104.7,Shear_key16
164,4037,Ballast concrete of 16.8,10100021,-59.9,Shear_key16
165,4037,Ballast concrete of 16.8,10100022,443.4,Shear_key15
166,4037,Ballast concrete of 16.8,10100023,528.7,Shear_key15
167,4037,Ballast concrete of 16.8,10100024,363.1,Shear_key15
168,4037,Ballast concrete of 16.8,10100025,-57.8,Shear_key12
169,4037,Ballast concrete of 16.8,10100026,-58.6,Shear_key12
170,4037,Ballast concrete of 16.8,10100027,-29.5,Shear_key12
171,4037,Ballast concrete of 16.8,10100028,80.4,Shear_key11
172,4037,Ballast concrete of 16.8,10100029,116.8,Shear_key11
173,4037,Ballast concrete of 16.8,10100030,64.1,Shear_key11
174,4037,Ballast concrete of 16.8,10100031,-107.3,Shear_key14
175,4037,Ballast concrete of 16.8,10100032,-117.0,Shear_key14
176,4037,Ballast concrete of 16.8,10100033,-67.7,Shear_key14
177,4037,Ballast concrete of 16.8,10100034,159.7,Shear_key13
178,4037,Ballast concrete of 16.8,10100035,247.6,Shear_key13
179,4037,Ballast concrete of 16.8,10100036,146.5,Shear_key13
180,4040,Base slab activation - 2551- 266,10100001,-57.2,Shear_key20
181,4040,Base slab activation - 2551- 266,10100002,-73.0,Shear_key20
182,4040,Base slab activation - 2551- 266,10100003,-33.4,Shear_key20
183,4040,Base slab activation - 2551- 266,10100004,60.9,Shear_key19
184,4040,Base slab activation - 2551- 266,10100005,83.1,Shear_key19
185,4040,Base slab activation - 2551- 266,10100006,42.0,Shear_key19
186,4040,Base slab activation - 2551- 266,10100007,-52.6,Not_a_shear_key
187,4040,Base slab activation - 2551- 266,10100008,-56.8,Not_a_shear_key
188,4040,Base slab activation - 2551- 266,10100009,-32.1,Not_a_shear_key
189,4040,Base slab activation - 2551- 266,10100010,64.7,Shear_key9
190,4040,Base slab activation - 2551- 266,10100011,88.6,Shear_key9
191,4040,Base slab activation - 2551- 266,10100012,45.2,Shear_key9
192,4040,Base slab activation - 2551- 266,10100013,-53.5,Shear_key18
193,4040,Base slab activation - 2551- 266,10100014,-53.0,Shear_key18
194,4040,Base slab activation - 2551- 266,10100015,-26.5,Shear_key18
195,4040,Base slab activation - 2551- 266,10100016,72.8,Shear_key17
196,4040,Base slab activation - 2551- 266,10100017,103.4,Shear_key17
197,4040,Base slab activation - 2551- 266,10100018,56.2,Shear_key17
198,4040,Base slab activation - 2551- 266,10100019,-95.9,Shear_key16
199,4040,Base slab activation - 2551- 266,10100020,-104.7,Shear_key16
200,4040,Base slab activation - 2551- 266,10100021,-59.9,Shear_key16
201,4040,Base slab activation - 2551- 266,10100022,443.4,Shear_key15
202,4040,Base slab activation - 2551- 266,10100023,528.7,Shear_key15
203,4040,Base slab activation - 2551- 266,10100024,363.1,Shear_key15
204,4040,Base slab activation - 2551- 266,10100025,-57.8,Shear_key12
205,4040,Base slab activation - 2551- 266,10100026,-58.6,Shear_key12
206,4040,Base slab activation - 2551- 266,10100027,-29.5,Shear_key12
207,4040,Base slab activation - 2551- 266,10100028,80.4,Shear_key11
208,4040,Base slab activation - 2551- 266,10100029,116.8,Shear_key11
209,4040,Base slab activation - 2551- 266,10100030,64.1,Shear_key11
210,4040,Base slab activation - 2551- 266,10100031,-107.3,Shear_key14
211,4040,Base slab activation - 2551- 266,10100032,-117.0,Shear_key14
212,4040,Base slab activation - 2551- 266,10100033,-67.7,Shear_key14
213,4040,Base slab activation - 2551- 266,10100034,159.7,Shear_key13
214,4040,Base slab activation - 2551- 266,10100035,247.6,Shear_key13
215,4040,Base slab activation - 2551- 266,10100036,146.5,Shear_key13
216,4041,Shear keys - BS - remaining,10100001,-57.2,Shear_key20
217,4041,Shear keys - BS - remaining,10100002,-73.0,Shear_key20
218,4041,Shear keys - BS - remaining,10100003,-33.5,Shear_key20
219,4041,Shear keys - BS - remaining,10100004,60.9,Shear_key19
220,4041,Shear keys - BS - remaining,10100005,83.1,Shear_key19
221,4041,Shear keys - BS - remaining,10100006,42.0,Shear_key19
222,4041,Shear keys - BS - remaining,10100007,-52.6,Not_a_shear_key
223,4041,Shear keys - BS - remaining,10100008,-56.8,Not_a_shear_key
224,4041,Shear keys - BS - remaining,10100009,-32.1,Not_a_shear_key
225,4041,Shear keys - BS - remaining,10100010,64.7,Shear_key9
226,4041,Shear keys - BS - remaining,10100011,88.6,Shear_key9
